clublink,country
club-00339,Ireland
club-00617,Northern Ireland
club-01493,Ireland
club-03498,Ireland
club-00484,Ireland
club-03198,Ireland
club-02243,Ireland
club-03374,England
club-02491,international
club-02650,England
club-00605,South Africa
club-03047,England
club-02399,Morocco
club-00196,international
club-00290,France
club-00983,Portugal
club-02947,Portugal
club-02958,Portugal
club-01358,England
club-02303,England
club-03679,Australia
club-02302,Australia
club-03708,England
club-02011,China
club-00104,England
club-00103,England
club-00452,Turkey
club-03675,England
club-01188,England
club-00564,England
club-00503,England
club-01975,England
club-00844,England
club-00878,England
club-01222-u23,England
club-02673,Spain
club-02615,Algeria
club-01969,Andorra
club-01707,Spain
club-02267,England
club-02512,England
club-02185,England
club-00115,England
club-03036,England
club-01215,England
club-01392,Romania
club-01457,Romania
club-01484,Romania
club-02874,international
club-01245,Romania
club-00543,Singapore
club-00100,England
club-01273,England
club-01639,England
club-03672,England
club-01224,England
club-01187,England
club-02722,United States
club-00230,United States
club-02723,United States
club-03290,England
club-03037,England
club-02521,England
club-01835,England
club-00120,England
club-01389,India
club-02001,India
club-02503,England
club-01494,England
club-01881,Finland
club-02778,France
club-02169,Northern Ireland
club-01032,Scotland
club-00877,Scotland
club-01873,Scotland
club-01849,Scotland
club-00202,Scotland
club-01098,international
club-00488,England
club-02193,England
club-00610,England
club-03287,England
club-01267,England
club-03677,England
club-00726,England
club-00529,England
club-02287,England
club-00517,England
club-01810,England
club-01208,England
club-01356,England
club-02299-u23,England
club-00731,England
club-00980,England
club-01145,Scotland
club-01335,England
club-00473,England
club-02707,England
club-01259,England
club-02463,England
club-01981,international
club-01719,Northern Ireland
club-01207,England
club-02229,Scotland
club-00838,Scotland
club-01056,England
club-01863,England
club-01071,Scotland
club-02098,Scotland
club-02545,England
club-01385,England
club-03692,England
club-03025,Ireland
club-00853,Wales
club-02232,Wales
club-00032,Wales
club-00411,Wales
club-00861,Wales
club-00689,Wales
club-02512-u23,England
club-00598,England
club-00263,Greece
club-03759,Bulgaria
club-00086,Netherlands
club-00893,England
club-01428,England
club-01394,England
club-03039,Ireland
club-02516,England
club-03195,Scotland
club-02857,England
club-01259-u23,England
club-02515,England
club-01216,England
club-01197,England
club-00693,Scotland
club-03128,England
club-02782,Spain
club-01234,Spain
club-03625,Netherlands
club-03132,international
club-02485,Slovenia
club-01675,Turkey
club-02481,Croatia
club-00045-u19,Italy
club-00045,Italy
club-01167,Germany
club-03191,Scotland
club-02653,Bulgaria
club-02241,Bulgaria
club-01565,Latvia
club-03075,Latvia
club-02203,international
club-01589,Latvia
club-03024,Belarus
club-03141,Latvia
club-00999,Russia
club-02239,Russia
club-00048,Italy
club-03535,Italy
club-02974,international
club-01909,England
club-03677-u23,England
club-03224,England
club-01807,Scotland
club-02129,Belgium
club-02363,England
club-01436,England
club-02559,France
club-00229,Turkey
club-00181,United Arab Emirates
club-02929,Netherlands
club-01460,Romania
club-00133-ii,Netherlands
club-00133-u19,Netherlands
club-01241,Netherlands
club-03693,Netherlands
club-00133,Netherlands
club-03133,Netherlands
club-03641,Netherlands
club-00488-u23,England
club-03221,England
club-02251,France
club-02019,Malaysia
club-02647,Australia
club-00161,Saudi Arabia
club-02332,Australia
club-00927,Slovakia
club-02738,Scotland
club-01038,Scotland
club-03663,New Zealand
club-00030,Scotland
club-01918,England
club-01990,international
club-01175,Israel
club-02895,Turkey
club-01115,Turkey
club-03051,Turkey
club-01238,England
club-00478,England
club-03125,England
club-03081,Norway
club-03231,Norway
club-01926,Sweden
club-00057,Italy
club-02774,Italy
club-00042,Italy
club-03271,Austria
club-02931,Austria
club-01534,Austria
club-01534-ii,Austria
club-01094,Cyprus
club-00368,Latvia
club-01057,Hongkong
club-03735,Hongkong
club-03386,Wales
club-03747,Russia
club-00139,Russia
club-02432,Uzbekistan
club-03110,Russia
club-01312,Latvia
club-03629,Russia
club-01607,Russia
club-02513,Russia
club-01293,Lithuania
club-01567,Lithuania
club-01691,Italy
club-01213,Germany
club-03241,South Africa
club-00458,South Africa
club-02989,Spain
club-00180,Saudi Arabia
club-03436,Spain
club-02718,Netherlands
club-02718-u19,Netherlands
club-02585,England
club-02067,Scotland
club-00695-u21,Australia
club-01009,England
club-02299,England
club-02282,England
club-01383,England
club-01910,England
club-02981,England
club-00065,England
club-02397,Scotland
club-02209,England
club-01869,England
club-00130,Scotland
club-00387,Scotland
club-01016,England
club-01059,England
club-01628,Wales
club-02740,England
club-00524,Scotland
club-01849-reserves,Scotland
club-00515,England
club-03729,England
club-00613,Wales
club-02233,Wales
club-00533,England
club-01624,England
club-00463,England
club-00328,England
club-01764,England
club-02220,England
club-02747,Hongkong
club-00594,Scotland
club-03310,England
club-00128,Wales
club-01222,England
club-03383,England
club-02941,India
club-00396,Indonesia
club-02716,Indonesia
club-01950,Philippines
club-02464,Australia
club-00757,England
club-00191,England
