;func;funccat
1;Manager;Manager
3;Assistant Manager;Lower Manager
18;Youth Coach;Youth team management/development
26;Caretaker Manager;Lower Manager
27;Development Coach;Player coach
28;Academy Goalkeeping coordinator;Player coach
37;Sporting Director;Executive function
47;Academy manager;Youth team management/development
54;Goalkeeping Coach;Player coach
69;Stadium Announcer;Other support staff
82;Player-Coach;Player coach
88;Chief Scout;Scout
89;President;Executive function
121;Academy Staff;Other support staff
131;Technical Director;Executive function
135;Chief Executive Officer;Youth team management/development
136;Scout;Scout
183;Head of Football Operations;Executive function
198;Academy Manager;Youth team management/development
263;Advisor of management;Executive function
274;Technical Coach;Player coach
331;Advisor;Executive function
334;Vice-President;Executive function
351;Conditioning Coach;Player coach
352;Physiotherapist;Medical staff
373;Team Manager;Manager
394;President of professional football department;Executive function
424;Individual Coach;Player coach
426;Forward Coach;Player coach
442;Chief Operating Officer;Executive function
483;Loan Player Manager;Other support staff
498;Executive Assistant;Other support staff
516;Director of Football;Executive function
547;Club representative;Other support staff
600;Head of Scouting;Scout
629;Fitness Coach;Medical staff
659;Head of Academy Coaching;Youth team management/development
690;Goal keeper coach;Player coach
705;Head of Medical;Medical staff
750;Match Analyst;Other support staff
877;Squad leader;Other support staff
902;Youth Scout;Scout
1038;Technical Assistant;Other support staff
1145;Counselor of administrative board;Executive function
1150;Youth Chief Scout;Youth team management/development
1168;Member of administrative board;Executive function
1171;Board Member;Executive function
1182;Marketing/Management;Other support staff
1184;Owner;Executive function
1188;Team coordinator;Other support staff
1189;Sports coordinator;Other support staff
1195;Director of Professional Football and Scout;Executive function
1239;Director;Executive function
1390;Trainer scout;Youth team management/development
1413;Sports Scientist;Other support staff
1443;Scout Goalkeeping;Scout
1457;Video Analyst;Other support staff
1502;Association sports teacher;Other support staff
1567;Marketing Staff;Other support staff
1608;Director of youth department;Youth team management/development
1627;Masseur;Medical staff
1631;Youth Scouting Co-ordinator;Scout
1641;Chairman;Executive function
1643;Head of Marketing;Other support staff
1691;Strategic Advisor;Other support staff
1706;Coach trainee;Lower Manager
1737;Developer international relations;Other support staff
1771;Investor;Executive function
1950;Board of Directors;Executive function
1951;Director of Professional Football;Executive function
2294;Performance Manager;Other support staff
2334;Opponent Analyst;Other support staff
2351;Chief Analyst;Other support staff
2399;Head of Soccer School;Youth team management/development
2423;Mental Coach;Medical staff
2772;Sporting CEO;Executive function
2773;Gaming operation;Other support staff
2847;Team official;Other support staff
2972;Head of Youth Scouting;Scout
2984;Member of the Supervisory Board;Executive function
3119;Goalkeeping Co-ordinator;Player coach
3121;Honorary President;Executive function
3157;Deputy chairman of the board of directors;Executive function
3181;Head of methodology;Executive function
3300;Managing Director Sport;Executive function
3654;Coordinator of talent management;Scout
3985;Staff of the office;Other support staff
4048;Chairman of the Supervisory Board;Executive function
4115;Medical Director Physiotherapy;Medical staff
4229;Kit Manager;Other support staff
4504;Director of Development;Executive function
4592;Executive assistant of the manager;Other support staff
4667;Chief instructor;Other support staff
4918;Scout Forwards;Scout
5291;Head of International Relations and Scouting;Scout
5341;Umpire;Other support staff
5489;Managing Director Professional Football;Executive function
5763;;NA
6427;Rehab Coach;Other support staff
7058;Managing Director Sport and Communications;Other support staff
7263;Medical department;Medical staff
7329;Board member;Executive function
7718;Head of first team football;Manager
7921;Secretary general;Executive function
8298;Director of Media and Communications;Other support staff
8321;Academy Medical Director;Medical staff
8327;Lead Academy Physiotherapist;Medical staff
8452;Media worker;Other support staff
8473;Head of Logistics;Other support staff
8739;Director of Sport;Executive function
8783;Chairman of the Board;Executive function
9493;Supporter Liaison Officer;Other support staff
